feature,importance_mean,importance_std
balance_trend_3m,0.11056549045363462,0.002736703815517866
avg_app_sessions_3m,0.01913528611717552,0.0004279553943189368
avg_balance_3m,0.005261609976946857,0.0009615227219221767
sessions_trend_3m,0.002006871208534766,0.0018899767618510636
txn_trend_3m,0.0018328569868129863,0.0014337580050954961
salary_inflow_months_3m,0.0008716626026988306,0.00015341492869883834
avg_nps_3m,0.0006147431008540205,9.216380785014345e-05
sum_pix_out_3m,0.00015034958057935643,0.0002475161643822114
sum_pix_in_3m,0.00012511572844872698,0.0003679390884982861
sum_bill_payments_3m,9.328637084687896e-05,0.0003556521144426548
unresolved_tickets_3m,7.17459032233414e-05,4.557677047233384e-05
has_credit_card,0.0,0.0
support_tickets_3m,-2.7928108164348986e-05,2.5152106470455562e-05
contact_pressure_30d,-6.864094952233057e-05,0.00022971302077272703
has_personal_loan,-0.00011648097442581995,0.000248169975344704
sum_financial_txn_3m,-0.0002730137385752174,0.0008440444690273657
sum_card_purchases_3m,-0.0003058027145871334,0.0004948553215212555
tenure_months,-0.0005533089192824026,0.0001807582689946548
sum_failed_txn_3m,-0.0006817894864701579,0.0006570297385787926
monthly_contribution_margin,-0.0007605255943963496,0.00027685420996185995
credit_limit,-0.000768980875533648,0.000452817978210571
products_count,-0.0013464858046934036,0.0010677462105566796
